record_id,site,site_location,sample,latitude,longitude,coordinate_note,coordinate_source,age_ka,minus_ka,plus_ka,uncertainty_convention,method,dated_material_or_context,relationship_to_human_presence,hominin_attribution,dependency_group,citation,doi_or_url,locator,verified_fields,notes
R11,Aybut Al Auwal,"Aybut Al Auwal (AYB1), Dhofar, Oman",AYB1-OSL2,17.50,53.35,"ESTIMATE read from graticule of Fig. 3 map (Rose et al. 2011 PLoS ONE 6:e28239), Wadi Aybut beside Mudayy village, west-central Nejd; ~±0.1 deg. Paper gives no numeric coordinates",paper (map figure): https://zenodo.org/records/896507,107,9,9,1 sigma (Table S1 caption),OSL (quartz),"Unit 3 fluvial sediment, ~74 cm depth",assemblage layer,lithics only (Nubian Complex),AYB1_UNIT3,"Rose JI et al. 2011. The Nubian Complex of Dhofar, Oman: an African Middle Stone Age industry in southern Arabia. PLoS ONE 6:e28239",10.1371/journal.pone.0028239 ; PMC3227647,Results; Table S1 caption,age;uncertainty,
R12,Mundafan palaeolake,"Mundafan palaeolake, Najran, Saudi Arabia","Rosenberg et al. section 22.2, samples 38 & 46 weighted mean",18.566667,45.316667,"Converted from stated 18°34'N 45°19'E; this is the palaeolake basin, not individual lithic sites; arcminute precision",as cited for the dated record (10.1371/journal.pone.0069665 ; PMC3722113),101.72,4.8,4.8,1 sigma (Table 2 header 'Error (1σ Ka)'),OSL,Palaeolake-bracketing sand (lake phase ~MIS 5c),"palaeoenvironmental phase only; MP artefacts are surface finds, association inferred",lithics only,MUNDAFAN_LAKE,"Crassard R et al. 2013. Middle Palaeolithic and Neolithic occupations around Mundafan Palaeolake, Saudi Arabia. PLoS ONE 8:e69665",10.1371/journal.pone.0069665 ; PMC3722113,Table 2; Discussion,lat;lon;age;uncertainty,Weighted mean computed by Crassard et al. from Rosenberg et al. (2011) dates. Weak link to occupation; environmental context row.
R13,Mundafan palaeolake,"Mundafan palaeolake, Najran, Saudi Arabia","Rosenberg et al. section 22.5, sample 48",18.566667,45.316667,"Converted from stated 18°34'N 45°19'E; this is the palaeolake basin, not individual lithic sites; arcminute precision",as cited for the dated record (10.1371/journal.pone.0069665 ; PMC3722113),79,7,7,1 sigma (Table 2 header),OSL,Sand below marl (lake phase ~MIS 5a),palaeoenvironmental phase only; surface artefacts,lithics only,MUNDAFAN_LAKE,"Crassard R et al. 2013. Middle Palaeolithic and Neolithic occupations around Mundafan Palaeolake, Saudi Arabia. PLoS ONE 8:e69665",10.1371/journal.pone.0069665 ; PMC3722113,Table 2,lat;lon;age;uncertainty,As above.
R14,Jebel Faya,"Jebel Faya (FAY-NE1 rock shelter), Sharjah, UAE","AH VI mean (FAYA-38S-OSL7, OSL4, FAYA19)",25.1190,55.8470,"Coordinates 25°07'08""N 55°50'49""E; Megalithic Portal FAY-NE1 rockshelter entry gives 25.118780N 55.847470E (agrees)",Wikipedia: https://en.wikipedia.org/wiki/Jebel_Faya,134,7,7,not stated in main text,OSL,Within archaeological horizon AH VI,assemblage layer,lithics only,FAYA_AHVI,"Bretzke K et al. 2022. Multiple phases of human occupation in Southeast Arabia between 210,000 and 120,000 years ago. Sci Rep",10.1038/s41598-022-05617-w ; PMC8803878,Results,age;uncertainty,"Individual: 129±14, 137±14, 135±9 ka; sterile layer below 148±9 ka. Discussion gives AH VI mean range 127-141 ka."
R15,Jebel Faya,"Jebel Faya (FAY-NE1 rock shelter), Sharjah, UAE",FAYA-38S-OSL3,25.1190,55.8470,"Coordinates 25°07'08""N 55°50'49""E; Megalithic Portal FAY-NE1 rockshelter entry gives 25.118780N 55.847470E (agrees)",Wikipedia: https://en.wikipedia.org/wiki/Jebel_Faya,123,10,10,not stated in main text,OSL,Within archaeological horizon AH V (~10 cm above AH VI),assemblage layer,lithics only,FAYA_AHV,"Bretzke K et al. 2022. Multiple phases of human occupation in Southeast Arabia between 210,000 and 120,000 years ago. Sci Rep",10.1038/s41598-022-05617-w ; PMC8803878,Results,age;uncertainty,
R16,Jebel Faya,"Jebel Faya (FAY-NE1), Sharjah, UAE","Assemblage C (Armitage et al. 2011, as cited)",25.1190,55.8470,"Coordinates 25°07'08""N 55°50'49""E; Megalithic Portal FAY-NE1 rockshelter entry gives 25.118780N 55.847470E (agrees)",Wikipedia: https://en.wikipedia.org/wiki/Jebel_Faya,,,,range (as cited),OSL,Assemblage C terrace deposits,assemblage layer,lithics only (original paper argued AMH),FAYA_AHVI,"Bretzke K et al. 2022. Multiple phases of human occupation in Southeast Arabia between 210,000 and 120,000 years ago. Sci Rep",10.1038/s41598-022-05617-w ; PMC8803878,Discussion (citing Armitage et al. 2011 Science 331:453),,"SECONDARY: Bretzke et al. cite Armitage ages 111-143 ka and 113-133 ka for Assemblage C, stratigraphically linked to AH VI. Primary paper paywalled; abstract (fetched) gives no numbers."
R17,Tinshemet Cave,"Tinshemet Cave, Israel",Layer III burnt flints (mean),31.9996,34.9680,"Site coordinates 31.999590N 34.968030E (Megalithic Portal); HUJI Institute of Archaeology page places it on east bank of Nahal Beit Arif near Shoham, consistent",heritage database (Megalithic Portal): https://www.megalithic.co.uk/article.php?sid=62830,96.3,7.2,7.2,not stated for mean; Fig. 2 error bars ±1σ,TL (heated flint),"Layer III, First Chamber (contains Tinshemet 1 child burial)",associated layer (burial layer),Homo spp. (preliminary; not yet assigned to species),TINSHEMET_L3,"Zaidner Y et al. 2025. Evidence from Tinshemet Cave in Israel suggests behavioural uniformity across Homo groups in the Levantine mid-Middle Palaeolithic circa 130,000-80,000 years ago. Nat Hum Behav",10.1038/s41562-025-02110-y ; PMC12106087,Results (TL paragraph); Fig. 2 caption,age;uncertainty,Individual TL ages 84-109 ka.
R18,Tinshemet Cave,"Tinshemet Cave, Israel",Layer III OSL,31.9996,34.9680,"Site coordinates 31.999590N 34.968030E (Megalithic Portal); HUJI Institute of Archaeology page places it on east bank of Nahal Beit Arif near Shoham, consistent",heritage database (Megalithic Portal): https://www.megalithic.co.uk/article.php?sid=62830,114,8,8,±1σ (Fig. 2 caption),OSL (quartz),"Layer III, First Chamber",associated layer (burial layer),Homo spp. (preliminary),TINSHEMET_L3,"Zaidner Y et al. 2025. Evidence from Tinshemet Cave in Israel suggests behavioural uniformity across Homo groups in the Levantine mid-Middle Palaeolithic circa 130,000-80,000 years ago. Nat Hum Behav",10.1038/s41562-025-02110-y ; PMC12106087,Results (OSL paragraph),age;uncertainty,TL/OSL for Layer III differ by ~18 ka; overlap at ~1.6σ.
R19,Tinshemet Cave,"Tinshemet Cave, Israel",Unit B1a OSL,31.9996,34.9680,"Site coordinates 31.999590N 34.968030E (Megalithic Portal); HUJI Institute of Archaeology page places it on east bank of Nahal Beit Arif near Shoham, consistent",heritage database (Megalithic Portal): https://www.megalithic.co.uk/article.php?sid=62830,106,7,7,±1σ (Fig. 2 caption),OSL (quartz),Terrace Unit B1a (contains Tinshemet 2 adult burial),associated layer (burial layer),Homo spp. (preliminary),TINSHEMET_B1A,"Zaidner Y et al. 2025. Evidence from Tinshemet Cave in Israel suggests behavioural uniformity across Homo groups in the Levantine mid-Middle Palaeolithic circa 130,000-80,000 years ago. Nat Hum Behav",10.1038/s41562-025-02110-y ; PMC12106087,Results (OSL paragraph),age;uncertainty,Terrace Unit A OSL mean 106.5±16 ka (Tinshemet 8 burial in Unit A2).
R20,Wadi Gharandal GH3,"Wadi Gharandal GH3, southern Jordan",GH3-OSL3 (quartz),30.0865,35.2035,"NEARBY PLACE: 'Ayn Gharandal Roman fort (N 30°05.187' E 35°12.209'), ~200 m west of the mouth of Wadi Gharandal on the east edge of Wadi Arabah; GH3 lies in the Wadi Gharandal basin, likely within a few km (site-level coords not found; Quaternary Research 2020 paper gives none). Do NOT use Gharandal town in Tafilah (30.72N 35.65E) - different place",paper: https://www.sciencepublishinggroup.com/article/10.11648/j.ija.20261401.12,84,5,5,not stated,OSL (quartz),"Same sediment layer as three in situ lithics (two Levallois flakes), 1.25 m depth",assemblage layer,lithics only,GHARANDAL_GH3,Abbas M et al. 2023. Human dispersals out of Africa via the Levant. Sci Adv eadi6838,10.1126/sciadv.adi6838 ; PMC10550223,Table 1; Results; Methods,age;uncertainty,Text: 'Middle Paleolithic artifacts at 84 ± 5 ka'.
R21,Wadi Gharandal GH3,"Wadi Gharandal GH3, southern Jordan",GH3-OSL3 (feldspar),30.0865,35.2035,"NEARBY PLACE: 'Ayn Gharandal Roman fort (N 30°05.187' E 35°12.209'), ~200 m west of the mouth of Wadi Gharandal on the east edge of Wadi Arabah; GH3 lies in the Wadi Gharandal basin, likely within a few km (site-level coords not found; Quaternary Research 2020 paper gives none). Do NOT use Gharandal town in Tafilah (30.72N 35.65E) - different place",paper: https://www.sciencepublishinggroup.com/article/10.11648/j.ija.20261401.12,72,6,6,not stated,"pIR-IRSL290 single-grain feldspar, fading corrected",Same layer as artefacts,assemblage layer,lithics only,GHARANDAL_GH3,Abbas M et al. 2023. Human dispersals out of Africa via the Levant. Sci Adv eadi6838,10.1126/sciadv.adi6838 ; PMC10550223,Table 1 footnote †,age;uncertainty,Conflicts with quartz age on same sample (84±5).
R22,Wadi Gharandal GH3,"Wadi Gharandal GH3, southern Jordan",GH3-OSL2 (quartz),30.0865,35.2035,"NEARBY PLACE: 'Ayn Gharandal Roman fort (N 30°05.187' E 35°12.209'), ~200 m west of the mouth of Wadi Gharandal on the east edge of Wadi Arabah; GH3 lies in the Wadi Gharandal basin, likely within a few km (site-level coords not found; Quaternary Research 2020 paper gives none). Do NOT use Gharandal town in Tafilah (30.72N 35.65E) - different place",paper: https://www.sciencepublishinggroup.com/article/10.11648/j.ija.20261401.12,71,5,5,not stated,OSL (quartz),"Sediment just above artefacts, 1.05 m",bracketing layer above,lithics only,GHARANDAL_GH3,Abbas M et al. 2023. Human dispersals out of Africa via the Levant. Sci Adv eadi6838,10.1126/sciadv.adi6838 ; PMC10550223,Table 1; Methods,age;uncertainty,Feldspar on same sample 65±10 ka.
R23,Taramsa 1,"Taramsa 1 (Taramsa Hill), Nile Valley, Egypt",Weighted mean of Table 1 OSL ages,26.10,32.70,"NEARBY PLACE: paper gives 26°6'N 32°42'E for Dandara temple (text ambiguous whether for temple or hill); Taramsa Hill is 2.5 km SE of the temple, so true site is within ~0.03 deg",paper: https://in-africa.org/wp-content/uploads/2012/12/Vermeersch-et-al-1998-Antiq-Taramsa-Hill.pdf,55.5,3.7,3.7,1 standard deviation (stated '±1 standard deviation'),"OSL (quartz, multiple aliquot additive dose)",Aeolian sands filling Late Middle Palaeolithic chert-extraction pits,associated layer (burial in extraction pit; not dated directly),H. sapiens (anatomically modern child),TARAMSA_BURIAL,"Vermeersch PM et al. 1998. A Middle Palaeolithic burial of a modern human at Taramsa Hill, Egypt. Antiquity 72:475-484",https://in-africa.org/wp-content/uploads/2012/12/Vermeersch-et-al-1998-Antiq-Taramsa-Hill.pdf,OSL section p.481; Table 1,age;uncertainty,"Individual ages 49.8-80.4 ka. Rose et al. 2011 Table 1 cites this paper for Taramsa 74±4 and 103±8 ka OSL, values not found in it (likely Van Peer et al. 2010)."
R24,Shi'bat Dihya 1,"Shi'bat Dihya 1 (SD1), Wadi Surdud, Yemen",SD1 occupation,15.0,43.5,"NEARBY PLACE: Bani Sa'd District centroid (Wikidata 15°0'N 43°30'E); SD1 is near village of Khamis Bani Saad, al-Mahwit, on Sana'a-Hodeidah route, 360-392 m elevation. Site-level coords not found. Wadi Surdud basin reported as 14°58'-15°35'N 43°20'-43°58'E (search snippet only, not fetched)",Wikidata: https://www.wikidata.org/wiki/Q4117337,55,,,not given in abstract,OSL (per secondary search snippet; abstract states only 'dated to 55 ka BP'),Dense MP occupation horizon,assemblage layer,lithics only,SD1,"Delagnes A et al. 2012. Inland human settlement in southern Arabia 55,000 years ago. J Hum Evol (abstract only)",10.1016/j.jhevol.2012.03.008 ; PMID 22766480,Abstract,age,No uncertainty available (paper paywalled). Sequence 63-42 ka.
R25,Sodmein Cave,"Sodmein Cave, Red Sea Mountains, Egypt",Nubian Complex level,26.2408,33.9700,"Site coordinates 26°14'27""N 33°58'12""E (Moeyersons et al. 2002 QSR); ~35-40 km NNW of Quseir",paper: https://www.africamuseum.be/publication_docs/QSR2002_837.pdf,119,18,18,not stated,TL (heated chert/flint),Heated artefacts in MSA level,assemblage layer,lithics only (Nubian Complex),SODMEIN,"Rose JI et al. 2011. The Nubian Complex of Dhofar, Oman: an African Middle Stone Age industry in southern Arabia. PLoS ONE 6:e28239",10.1371/journal.pone.0028239 ; PMC3227647,Rose et al. 2011 Table 1 (citing Mercier et al. 1999 JAS 26:1339),age;uncertainty,"SECONDARY. Klasen et al. EGU2018 abstract: TL ages 'scatter between 87 and <121 ka'; pIRIR290 ~110 ka (layer I), ~70 ka (G1, G2)."
R26,Nesher Ramla,"Nesher Ramla, Israel",Homo fossil-bearing sequence,31.9079,34.9285,"Site coordinates 31°54'28.4""N 34°55'42.6""E from Wikidata (item has 0 references); consistent with 'outskirts of Ramla' (Ramla city ~31.93N 34.86E)",Wikidata: https://www.wikidata.org/wiki/Q107314382,130,10,10,range (stated 140-120 ka; midpoint/half-range derived by compiler),"multiple radiometric (TL, OSL, ESR per Zaidner et al. 2020 PLoS ONE); not specified in abstract",Archaeological unit with Homo fossils,associated layer,Middle Pleistocene Homo ('Nesher Ramla Homo'); Neanderthal per Marom & Rak 2021 comment,NESHER_RAMLA,"Zaidner Y et al. 2021. Middle Pleistocene Homo behavior and culture at 140,000 to 120,000 years ago and interactions with Homo sapiens. Science 372:1429; Hershkovitz I et al. 2021. A Middle Pleistocene Homo from Nesher Ramla, Israel. Science 372:1424 (abstracts only)",10.1126/science.abh3020 ; 10.1126/science.abh3169 ; abstracts via api.semanticscholar.org,Abstracts,age,"Earlier preliminary OSL 160±8 to 78±6 ka and TL 117-185 ka (PLoS ONE 2020 e0231109, PMC7122790). Not H. sapiens."
R27,Skhul,"Skhul (Es-Skhul), Mt Carmel, Israel",Burials (best estimate),32.6707,34.9661,"Site coordinates 32°40'14.4""N 34°57'58.1""E; ~0.1 km from Tabun (same Nahal Me'arot cliff)",Wikipedia: https://en.wikipedia.org/wiki/Skhul_Cave,117.5,17.5,17.5,range (stated 100-135 ka; midpoint derived by compiler),ESR and U-series on bones/teeth,Four well-provenanced fossils/teeth relating to burials,hominin fossil direct and associated fauna,H. sapiens (early modern),SKHUL,Grün R et al. 2005. U-series and ESR analyses of bones and teeth relating to the human burials from Skhul. J Hum Evol (abstract only),10.1016/j.jhevol.2005.04.006 ; PMID 15970310,Abstract,age,Conditional on short burial time-span; Skhul IX material may be older. Groucutt et al. 2018 summarise Skhul as ~130-100 ka.
R28,Skhul,"Skhul (Es-Skhul), Mt Carmel, Israel",Burnt flint TL (Mercier et al. 1993),32.6707,34.9661,"Site coordinates 32°40'14.4""N 34°57'58.1""E; ~0.1 km from Tabun (same Nahal Me'arot cliff)",Wikipedia: https://en.wikipedia.org/wiki/Skhul_Cave,119,18,18,not stated,TL (burnt flint),Burnt flints from Mousterian burial layer,associated layer,H. sapiens (early modern),SKHUL,Grün R et al. 2005. U-series and ESR analyses of bones and teeth relating to the human burials from Skhul. J Hum Evol (abstract only),10.1016/j.jhevol.2005.04.006 ; PMID 15970310,Abstract (citing Mercier et al. 1993),age;uncertainty,SECONDARY via Grün et al. abstract.
R29,Qafzeh,"Qafzeh, Lower Galilee, Israel",H. sapiens burials (summary),32.6828,35.2986,"Site coordinates 32°40'58""N 35°17'55""E",Wikipedia: https://en.wikipedia.org/wiki/Qafzeh,95,5,5,range (~100-90 ka as summarised; midpoint derived by compiler),not stated in summary (primary: TL/ESR),H. sapiens fossils,summary of hominin-associated dates,H. sapiens,QAFZEH,"Groucutt HS et al. 2018. Homo sapiens in Arabia by 85,000 years ago. Nat Ecol Evol 2:800-809",10.1038/s41559-018-0518-2 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC5935238/ ; https://researchonline.ljmu.ac.uk/id/eprint/8452/1/Groucutt%20et%20al%20Al%20Wusta%20accepted%20version.pdf,Groucutt 2018 Discussion; also Abbas 2023 Introduction,age,SECONDARY only. Primary Valladas et al. 1988 (Nature 331:614) abstract could not be fetched. Qafzeh 11 PLoS ONE abstract says 'circa 90-100 kyrs BP'.
R30,Tabun Cave,"Tabun Cave, Mt Carmel, Israel",Tabun BC7 teeth (U-series),32.6705,34.9655,"Site coordinates 32°40'13.80""N 34°57'55.80""E",Wikipedia: https://en.wikipedia.org/wiki/Tabun_Cave,90,16,30,not stated,U-series disequilibrium on Layer B samples,Teeth attributed to Layer B,hominin fossil direct (ESR) / associated layer (U-series),Neanderthal (probable),TABUN_BC7,"(authors not verified) 2005. Newly recognized Pleistocene human teeth from Tabun Cave, Israel. J Hum Evol (abstract only)",10.1016/j.jhevol.2005.04.005 ; PMID 15964608,Abstract,age;uncertainty,"ESR on M3 enamel: 82±14 ka (EU) and 92±18 ka (LU). Provenance of teeth uncertain. Tabun C1: ESR 143±37 ka tentative (this abstract) vs gamma U-series 34±5 ka (mandible, 1998 J Hum Evol gamma-spectrometry abstract, PMID 9929173) - major conflict."
R31,Tabun Cave,"Tabun Cave, Mt Carmel, Israel","Tabun BC7 M3 enamel (ESR, early uptake)",32.6705,34.9655,"Site coordinates 32°40'13.80""N 34°57'55.80""E",Wikipedia: https://en.wikipedia.org/wiki/Tabun_Cave,82,14,14,not stated,ESR (EU model),Human tooth enamel,hominin fossil direct,Neanderthal (probable),TABUN_BC7,"(authors not verified) 2005. Newly recognized Pleistocene human teeth from Tabun Cave, Israel. J Hum Evol (abstract only)",10.1016/j.jhevol.2005.04.005 ; PMID 15964608,Abstract,age;uncertainty,Linear-uptake alternative 92±18 ka.
